firm_name,firm_website,challenge_name,markets,account_size,price,currency,profit_target_pct,max_drawdown_pct,daily_drawdown_pct,drawdown_type,minimum_days,maximum_days,payout_frequency_days,payout_split_pct,payout_conditions,platforms,leverage,refund_policy,country_restrictions,phases,news_trading,overnight,weekend,ea_allowed,copy_trading,scalping,hedging,consistency_rule,consistency_pct,source_url,source_type,confidence,status
Alpha Capital,,Alpha One 5K,forex;crypto;cfd,5000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Alpha Capital,,Alpha One 10K,forex;crypto;cfd,10000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Alpha Capital,,Alpha One 25K,forex;crypto;cfd,25000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Alpha Capital,,Alpha One 50K,forex;crypto;cfd,50000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Alpha Capital,,Alpha One 200K,forex;crypto;cfd,200000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Apex Trader Funding,,EOD Trail 25K,futures,25000,,USD,,,,eod_trailing,,,,100,,Rithmic;Tradovate,,,,1,restricted,prohibited,prohibited,prohibited,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Apex Trader Funding,,EOD Trail 75K,futures,75000,,USD,,,,eod_trailing,,,,100,,Rithmic;Tradovate,,,,1,restricted,prohibited,prohibited,prohibited,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Apex Trader Funding,,EOD Trail 100K,futures,100000,,USD,,,,eod_trailing,,,,100,,Rithmic;Tradovate,,,,1,restricted,prohibited,prohibited,prohibited,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Apex Trader Funding,,EOD Trail 150K,futures,150000,,USD,,,,eod_trailing,,,,100,,Rithmic;Tradovate,,,,1,restricted,prohibited,prohibited,prohibited,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Apex Trader Funding,,EOD Trail 250K,futures,250000,,USD,,,,eod_trailing,,,,100,,Rithmic;Tradovate,,,,1,restricted,prohibited,prohibited,prohibited,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Apex Trader Funding,,EOD Trail 300K,futures,300000,,USD,,,,eod_trailing,,,,100,,Rithmic;Tradovate,,,,1,restricted,prohibited,prohibited,prohibited,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
AquaFutures,,1-Step 25K,futures,25000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
AquaFutures,,1-Step 75K,futures,75000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
AquaFutures,,1-Step 100K,futures,100000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
AquaFutures,,1-Step 150K,futures,150000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
AquaFutures,,1-Step 250K,futures,250000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
AquaFutures,,1-Step 300K,futures,300000,,USD,,,,eod_trailing,,,,90,,NinjaTrader;Tradovate,,,,1,restricted,prohibited,prohibited,allowed,prohibited,unknown,allowed,required,,,official_pricing,needs_review,draft
Audacity Capital,,1-Step 5K,forex;cfd,5000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Audacity Capital,,1-Step 10K,forex;cfd,10000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Audacity Capital,,1-Step 25K,forex;cfd,25000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Audacity Capital,,1-Step 50K,forex;cfd,50000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Audacity Capital,,1-Step 200K,forex;cfd,200000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
BEM Funding,,2-Step 5K,forex;crypto;cfd,5000,,USD,,,,static,,,,80,,MT5;cTrader,,,,2,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
BEM Funding,,2-Step 10K,forex;crypto;cfd,10000,,USD,,,,static,,,,80,,MT5;cTrader,,,,2,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
BEM Funding,,2-Step 25K,forex;crypto;cfd,25000,,USD,,,,static,,,,80,,MT5;cTrader,,,,2,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
BEM Funding,,2-Step 50K,forex;crypto;cfd,50000,,USD,,,,static,,,,80,,MT5;cTrader,,,,2,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
BEM Funding,,2-Step 200K,forex;crypto;cfd,200000,,USD,,,,static,,,,80,,MT5;cTrader,,,,2,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Blue Guardian,,1-Step 5K,forex;crypto;cfd,5000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Blue Guardian,,1-Step 10K,forex;crypto;cfd,10000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Blue Guardian,,1-Step 25K,forex;crypto;cfd,25000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Blue Guardian,,1-Step 50K,forex;crypto;cfd,50000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
Blue Guardian,,1-Step 200K,forex;crypto;cfd,200000,,USD,,,,static,,,,80,,MT5;cTrader,,,,1,restricted,allowed,allowed,restricted,prohibited,unknown,allowed,unknown,,,official_pricing,needs_review,draft
