firm_name,propfirmmatch_listing,candidate_official_site_UNVERIFIED,researched,notes
Apex Trader Funding,https://propfirmmatch.com/futures/prop-firms/apex-trader-funding,apextraderfunding.com,no,
My Funded Futures,https://propfirmmatch.com/futures/prop-firms/my-funded-futures,myfundedfutures.com,no,
Topstep,https://propfirmmatch.com/futures/prop-firms/topstep,topstep.com,no,Evaluation is branded "Trading Combine"
TradeDay,https://propfirmmatch.com/futures/prop-firms/tradeday,tradeday.com,no,
Take Profit Trader,https://propfirmmatch.com/futures/prop-firms/take-profit-trader,takeprofittrader.com,no,
Top One Futures,https://propfirmmatch.com/futures/prop-firms/top-one-futures,,no,
FundedNext Futures,https://propfirmmatch.com/futures/prop-firms/fundednext-futures,fundednext.com,no,Futures arm of a larger forex/CFD firm; confirm it is a separate product
Funded Futures Family,https://propfirmmatch.com/futures/prop-firms/funded-futures-family,,no,
FuturesElite,https://propfirmmatch.com/futures/prop-firms/futureselite,,no,
Elite Trader Funding,https://propfirmmatch.com/futures/prop-firm-lists/challenge-types/static-drawdown,elitetraderfunding.com,no,Offers both static and trailing drawdown evaluations — separate challenges
Tradeify,https://propfirmmatch.com/futures/offers,,no,
Traders Launch,https://propfirmmatch.com/futures/prop-firm-reviews,,no,
Lucid Trading,https://propfirmmatch.com/futures/offers,,no,
Alpha Futures,https://propfirmmatch.com/futures/prop-firm-reviews,,no,
Earn2Trade,https://propfirmmatch.com/futures/offers,,no,
Blueberry Futures,https://propfirmmatch.com/futures/offers,,no,
