firm_name,website,ceo,key_people,headquarters,founded_year,description,leadership_source_url
Alpha Capital,,,,,,,
Apex Trader Funding,https://apextraderfunding.com/,,,,,,
AquaFunded,,,,,,,
AquaFutures,https://www.aquafutures.io/,,,,,,
Atmos Funded,,,,,,,
Blue Guardian,,,,,,,
Blue Guardian Futures,https://www.blueguardianfutures.com/,,,,,,
Blueberry Futures,https://blueberryfutures.com/,,,,,,
BrightFunded,,,,,,,
Crypto Fund Trader,,,,,,,
DayTraders,https://daytraders.com/,,,,,,
E8 Futures,https://e8futures.com/,,,,,,
E8 Markets,,,,,,,
Earn2Trade,https://www.earn2trade.com/,,,,,,
Funded Futures Family,https://www.fundedfuturesfamily.com/,,,,,,
FundedElite,,,,,,,
FundedNext,,,,,,,
FundedNext Futures,https://helpfutures.fundednext.com/,,,,,,
FundingPips,,,,,,,
FuturesElite,https://futureselite.com/,,,,,,
Goat Funded Futures,https://goatfundedfutures.com/,,,,,,
Goat Funded Trader,,,,,,,
Hola Prime,,,,,,,
Hola Prime Futures,https://holaprime.com/futures/,,,,,,
Lucid Trading,https://lucidtrading.com/,,,,,,
Maven,,,,,,,
Moneta Funded,,,,,,,
My Funded Futures,https://myfundedfutures.com/,,,,,,
Take Profit Trader,https://www.takeprofittrader.com/,,,,,,
The Trading Pit Futures,https://www.thetradingpit.com/futures,,,,,,
The5ers,,,,,,,
The5ers Futures,https://the5ers.com/futures/,,,,,,
Top One Futures,https://www.toponefutures.com/,,,,,,
Topstep,https://www.topstep.com/,,,,,,
TradeDay,https://www.tradeday.com/,,,,,,
Tradeify,https://tradeify.co/,,,,,,
Traders Launch,https://traderslaunch.com/,,,,,,
Ylos Trading,https://ylostrading.com/,,,,,,
