firm_name,challenge_name,account_size,news_trading,overnight,weekend,ea_allowed,copy_trading,scalping,hedging,consistency_rule,consistency_pct,source_url
Alpha Capital,2-Step 5K,5000,,,,,,,,,,
Alpha Capital,2-Step 10K,10000,,,,,,,,,,
Alpha Capital,2-Step 25K,25000,,,,,,,,,,
Alpha Capital,2-Step 50K,50000,,,,,,,,,,
Alpha Capital,Alpha One 1-Step 50K,50000,,,,,,,,,,
Alpha Capital,2-Step 100K,100000,,,,,,,,,,
Alpha Capital,Alpha One 1-Step 100K,100000,,,,,,,,,,
Alpha Capital,Alpha Pro 2-Step 100K,100000,,,,,,,,,,
Alpha Capital,2-Step 200K,200000,,,,,,,,,,
Apex Trader Funding,Evaluation 25K,25000,,,,,,,,,,
Apex Trader Funding,Evaluation 50K,50000,,,,,,,,,,
Apex Trader Funding,Evaluation 75K,75000,,,,,,,,,,
Apex Trader Funding,Evaluation 100K,100000,,,,,,,,,,
Apex Trader Funding,Evaluation 150K,150000,,,,,,,,,,
Apex Trader Funding,Evaluation 250K,250000,,,,,,,,,,
Apex Trader Funding,Evaluation 300K,300000,,,,,,,,,,
AquaFunded,2-Step 10K,10000,,,,,,,,,,
AquaFunded,2-Step 25K,25000,,,,,,,,,,
AquaFunded,2-Step 100K,100000,,,,,,,,,,
AquaFutures,Standard Evaluation 25K,25000,,,,,,,,required,40,
AquaFutures,Standard Evaluation 50K,50000,,,,,,,,required,40,
AquaFutures,Instant Standard 50K,50000,,,,,,,,,,
AquaFutures,Beginner 50K,50000,,,,,,,,,,
AquaFutures,Standard Evaluation 100K,100000,,,,,,,,required,40,
AquaFutures,Standard Evaluation 150K,150000,,,,,,,,required,40,
Atmos Funded,2-Step 5K,5000,,,,,,,,,,
Atmos Funded,2-Step 10K,10000,,,,,,,,,,
Atmos Funded,2-Step 25K,25000,,,,,,,,,,
Atmos Funded,2-Step 100K,100000,,,,,,,,,,
Blue Guardian,1-Step 5K,5000,,,,,,,,,,
Blue Guardian,Instant 5K,5000,,,,,,,,,,
Blue Guardian,1-Step 10K,10000,,,,,,,,,,
Blue Guardian,Instant 10K,10000,,,,,,,,,,
Blue Guardian,1-Step 25K,25000,,,,,,,,,,
Blue Guardian,1-Step 50K,50000,,,,,,,,,,
Blue Guardian,Instant 50K,50000,,,,,,,,,,
Blue Guardian,1-Step 100K,100000,,,,,,,,,,
Blue Guardian,Instant 100K,100000,,,,,,,,,,
Blue Guardian,Instant 200K,200000,,,,,,,,,,
Blue Guardian Futures,Standard 25K,25000,allowed,,,,,,,not_required,,
Blue Guardian Futures,Reserve 25K,25000,,,,,,,,required,50,
