firm_name,challenge_name,news_trading,overnight,weekend,ea_allowed,copy_trading,scalping,hedging,consistency_rule,consistency_pct,source_url,source_type,confidence
Apex Trader Funding,Evaluation 100K,,,,,allowed,,,required,30,https://apextraderfunding.com/help-center/getting-started/prohibited-activities/,aggregator_unverified,needs_review
Apex Trader Funding,Evaluation 150K,,,,,allowed,,,required,30,https://apextraderfunding.com/help-center/getting-started/prohibited-activities/,aggregator_unverified,needs_review
Apex Trader Funding,Evaluation 250K,,,,,allowed,,,required,30,https://apextraderfunding.com/help-center/getting-started/prohibited-activities/,aggregator_unverified,needs_review
Apex Trader Funding,Evaluation 25K,,,,,allowed,,,required,30,https://apextraderfunding.com/help-center/getting-started/prohibited-activities/,aggregator_unverified,needs_review
Apex Trader Funding,Evaluation 300K,,,,,allowed,,,required,30,https://apextraderfunding.com/help-center/getting-started/prohibited-activities/,aggregator_unverified,needs_review
Apex Trader Funding,Evaluation 50K,,,,,allowed,,,required,30,https://apextraderfunding.com/help-center/getting-started/prohibited-activities/,aggregator_unverified,needs_review
Apex Trader Funding,Evaluation 75K,,,,,allowed,,,required,30,https://apextraderfunding.com/help-center/getting-started/prohibited-activities/,aggregator_unverified,needs_review
Blue Guardian Futures,Direct 100K,allowed,,,,,,,,,https://helpfutures.blueguardian.com/,aggregator_unverified,needs_review
Blue Guardian Futures,Direct 150K,allowed,,,,,,,,,https://helpfutures.blueguardian.com/,aggregator_unverified,needs_review
Blue Guardian Futures,Direct 25K,allowed,,,,,,,,,https://helpfutures.blueguardian.com/,aggregator_unverified,needs_review
Blue Guardian Futures,Direct 50K,allowed,,,,,,,,,https://helpfutures.blueguardian.com/,aggregator_unverified,needs_review
Blue Guardian Futures,Express 100K,allowed,,,,,,,,,https://helpfutures.blueguardian.com/,aggregator_unverified,needs_review
Blue Guardian Futures,Express 150K,allowed,,,,,,,,,https://helpfutures.blueguardian.com/,aggregator_unverified,needs_review
Blue Guardian Futures,Express 25K,allowed,,,,,,,,,https://helpfutures.blueguardian.com/,aggregator_unverified,needs_review
Blue Guardian Futures,Express 50K,allowed,,,,,,,,,https://helpfutures.blueguardian.com/,aggregator_unverified,needs_review
Blue Guardian Futures,Reserve 100K,allowed,,,,,,,,,https://helpfutures.blueguardian.com/,aggregator_unverified,needs_review
Blue Guardian Futures,Reserve 150K,allowed,,,,,,,,,https://helpfutures.blueguardian.com/,aggregator_unverified,needs_review
Blue Guardian Futures,Reserve 25K,allowed,,,,,,,,,https://helpfutures.blueguardian.com/,aggregator_unverified,needs_review
Blue Guardian Futures,Reserve 50K,allowed,,,,,,,,,https://helpfutures.blueguardian.com/,aggregator_unverified,needs_review
Blue Guardian Futures,Standard 100K,,,,,,,,,40,https://helpfutures.blueguardian.com/,aggregator_unverified,needs_review
Blue Guardian Futures,Standard 150K,,,,,,,,,40,https://helpfutures.blueguardian.com/,aggregator_unverified,needs_review
Blue Guardian Futures,Standard 25K,,,,,,,,,40,https://helpfutures.blueguardian.com/,aggregator_unverified,needs_review
Blue Guardian Futures,Standard 50K,,,,,,,,,40,https://helpfutures.blueguardian.com/,aggregator_unverified,needs_review
Blueberry Futures,Accelerated Trailing 100K,restricted,allowed,allowed,,,,,,,https://blueberryfutures.com/,aggregator_unverified,needs_review
Blueberry Futures,Accelerated Trailing 150K,restricted,allowed,allowed,,,,,,,https://blueberryfutures.com/,aggregator_unverified,needs_review
Blueberry Futures,Accelerated Trailing 25K,restricted,allowed,allowed,,,,,,,https://blueberryfutures.com/,aggregator_unverified,needs_review
Blueberry Futures,Accelerated Trailing 50K,restricted,allowed,allowed,,,,,,,https://blueberryfutures.com/,aggregator_unverified,needs_review
Blueberry Futures,Ascent EOD 100K,restricted,allowed,allowed,,,,,,,https://blueberryfutures.com/,aggregator_unverified,needs_review
Blueberry Futures,Ascent EOD 150K,restricted,allowed,allowed,,,,,,,https://blueberryfutures.com/,aggregator_unverified,needs_review
Blueberry Futures,Ascent EOD 25K,restricted,allowed,allowed,,,,,,,https://blueberryfutures.com/,aggregator_unverified,needs_review
Blueberry Futures,Ascent EOD 50K,restricted,allowed,allowed,,,,,,,https://blueberryfutures.com/,aggregator_unverified,needs_review
